#Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE	L1I_CACHE	EXC_TAKEN	BR_MIS_PRED	BUS_CYCLES
0.501279763	blackscholes	1	102	34.5	5.08	0.203	48789580	23350942	24117923	2500	268738	48817212
1.003607568	blackscholes	1	102	34.5	5.08	0.203	50457368	13631212	18728716	4302	336099	50458665
0.501414083	blackscholes	1	102	35	5.08	0.203	50816763	24013404	25046882	2738	278382	50845838
1.003818135	blackscholes	1	102	34.5	5.08	0.203	49737436	13534073	18598509	4310	334992	49736947
0.501249599	blackscholes	1	102	34.5	5.08	0.203	48736436	23416825	24263192	2520	275047	48764454
0.5005174	blackscholes	1	204	34.5	5.072	0.324	101344532	37683799	43834250	7044	607509	101375665
1.002028676	blackscholes	1	204	34.5	5.072	0.284	102201091	28493443	38681076	8624	665668	102261717
1.503050565	blackscholes	1	204	34.5	5.072	0.284	99429702	28912737	38084743	8204	637031	99367619
2.004065525	blackscholes	1	204	34.5	5.072	0.324	101596994	29982983	39202727	8666	639443	101596905
2.504906054	blackscholes	1	204	35	5.072	0.284	102959039	30947992	39967603	8858	633182	102958026
3.006058671	blackscholes	1	204	34.5	5.072	0.284	103222975	30998390	39959966	9091	632371	103220165
3.507093369	blackscholes	1	204	34.5	5.08	0.284	103314335	31337384	40156959	9186	627386	103316159
4.008018584	blackscholes	1	204	34.5	5.08	0.284	102320812	31789716	40133881	8998	613367	102288100
4.509038957	blackscholes	1	204	34.5	5.08	0.284	102752385	32451649	40571115	9080	609375	102783557
5.010175217	blackscholes	1	204	34.5	5.08	0.284	102272319	32421303	40405546	9096	610651	102269815
5.511160275	blackscholes	1	204	34.5	5.08	0.284	102135625	32986063	40658059	9139	596218	102140483
6.012205541	blackscholes	1	204	34.5	5.08	0.284	102639766	33658078	41168657	9050	596428	102632616
6.51331836	blackscholes	1	204	34.5	5.08	0.284	103531476	34864686	42421585	8471	609442	103533169
6.973083044	blackscholes	1	204	34.5	5.08	0.284	114462753	28500761	40900217	10885	661244	114430862
0.500584703	blackscholes	1	204	34.5	5.072	0.324	100507960	37445686	43447840	6976	603283	100547504
1.001833482	blackscholes	1	204	35	5.072	0.324	101914027	28268137	38422125	8467	659831	101904273
1.502922674	blackscholes	1	204	35	5.072	0.284	102623470	29844346	39363039	8465	651473	102620778
2.004009104	blackscholes	1	204	34.5	5.072	0.324	100221709	29351780	38498596	8485	630783	100222752
2.505217255	blackscholes	1	204	34.5	5.072	0.284	101935625	30488319	39381546	8654	628511	101933114
3.006316653	blackscholes	1	204	35	5.072	0.284	102791727	30631119	39577039	8991	626451	102791271
3.507149794	blackscholes	1	204	35	5.072	0.284	101226173	30583221	39216100	8907	617914	101196043
4.007993715	blackscholes	1	204	34.5	5.072	0.284	101220069	31078451	39509835	8945	608840	101248439
4.509036286	blackscholes	1	204	34.5	5.072	0.284	101738097	31940711	40032312	8941	600165	101739796
5.010096252	blackscholes	1	204	35	5.072	0.284	102336684	32342220	40291448	9019	603598	102385323
5.511120956	blackscholes	1	204	34.5	5.072	0.324	98322822	31200652	38822855	8708	580248	98271084
6.012192066	blackscholes	1	204	34.5	5.072	0.284	100993481	32830628	40240019	8913	580960	100994444
6.513183122	blackscholes	1	204	34.5	5.072	0.324	101166130	32255243	40422905	8617	601214	101168552
7.014372671	blackscholes	1	204	34.5	5.072	0.284	124988722	33958975	46273258	11295	719709	124984424
7.052468539	blackscholes	1	204	34.5	5.072	0.284	8628023	2674498	3299837	816	45777	8597073
0.50075274	blackscholes	1	204	34.5	5.072	0.324	101695280	37788855	43910295	7087	601878	101748328
1.002047418	blackscholes	1	204	34.5	5.072	0.324	102928562	28569410	38619293	8657	651987	102906129
1.503083756	blackscholes	1	204	34.5	5.072	0.284	103442882	30335416	39802387	8617	650843	103441572
2.004292806	blackscholes	1	204	34.5	5.072	0.284	101577287	29918931	39001493	8565	631323	101574236
2.505248567	blackscholes	1	204	34.5	5.072	0.284	103441242	31120889	39905872	8979	623457	103442045
3.006094326	blackscholes	1	204	35	5.072	0.284	102592990	30463277	39409976	9033	618749	102591264
3.507129775	blackscholes	1	204	35	5.072	0.284	101669322	30901917	39388536	9029	607061	101670760
4.007983605	blackscholes	1	204	34.5	5.072	0.284	101570551	31185129	39493112	8933	601963	101567485
4.509239683	blackscholes	1	204	34.5	5.072	0.324	102408880	32277621	40290146	9052	599856	102469370
5.010256066	blackscholes	1	204	35	5.072	0.284	101767595	32171348	39959199	9045	587454	101708502
5.511309377	blackscholes	1	204	34.5	5.072	0.284	102040573	32588063	40249418	9132	587548	102039590
6.012329041	blackscholes	1	204	34.5	5.072	0.284	101209477	33093174	40420333	8912	583580	101206173
6.513405736	blackscholes	1	204	34.5	5.072	0.284	101940530	31999931	40273970	8689	600128	101911282
7.014372011	blackscholes	1	204	34.5	5.072	0.284	124905415	34169607	46364819	11417	714792	124934913
7.024062648	blackscholes	1	204	34.5	5.072	0.284	1821971	596029	707815	164	8440	1791661
