Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
0.501225369	blackscholes	1	102	37.5	5.08	0.243	48670459	262752	10964105	23279650	24001571	145552
1.003253311	blackscholes	1	102	37.5	5.08	0.243	50320214	335041	7062544	13589896	18697314	159593
1.505020725	blackscholes	1	102	37	5.08	0.243	51502250	341913	7374469	14221075	19391619	160058
2.007106846	blackscholes	1	102	37.5	5.08	0.203	50043962	332282	7149438	13753351	18759057	156223
2.509115308	blackscholes	1	102	37.5	5.072	0.243	50602634	334111	7457684	14490854	19274441	155792
3.010958403	blackscholes	1	102	37	5.08	0.203	50248191	327957	7472712	14569432	19232052	154230
3.512744725	blackscholes	1	102	37.5	5.08	0.203	51672644	333109	7702550	15018612	19746325	161200
4.014485943	blackscholes	1	102	37	5.08	0.203	50582846	323043	7699211	15015056	19569983	154582
4.515988718	blackscholes	1	102	37.5	5.08	0.203	50706459	322140	7700569	15034335	19607196	154755
5.017858794	blackscholes	1	102	37.5	5.08	0.203	50271424	314207	7485369	14697148	19175496	155461
5.519675588	blackscholes	1	102	37	5.08	0.203	50982238	322670	7920866	15569164	19879211	158320
6.021441704	blackscholes	1	102	37	5.08	0.203	51063124	319930	7722189	15125662	19695190	159129
6.523809084	blackscholes	1	102	37.5	5.08	0.203	51500783	321040	7831419	15342134	19890529	158394
7.027597854	blackscholes	1	102	37.5	5.08	0.203	50619039	315490	7821995	15418979	19704191	156553
7.529565226	blackscholes	1	102	37	5.08	0.203	50614057	310464	7840451	15447185	19746146	155780
8.031408064	blackscholes	1	102	37.5	5.08	0.203	50897799	314365	8071422	15866357	20080865	155240
8.533072981	blackscholes	1	102	37	5.08	0.203	50773538	311352	7990708	15841239	19936799	156866
9.03517593	blackscholes	1	102	37.5	5.08	0.203	51265222	307575	8191229	16247453	20292668	157400
9.53694684	blackscholes	1	102	37	5.08	0.203	51432558	313146	8082770	15925543	20152522	158609
10.03885005	blackscholes	1	102	37.5	5.08	0.203	50584013	305378	8152434	16196510	20070010	153910
10.54065164	blackscholes	1	102	37.5	5.072	0.243	50025314	310069	7925362	15705350	19712695	150617
11.04276474	blackscholes	1	102	37	5.072	0.202	51324821	306230	8270283	16438630	20370241	157033
11.5441919	blackscholes	1	102	37	5.072	0.202	50851488	300055	8298543	16448688	20286178	155355
12.04627552	blackscholes	1	102	37.5	5.08	0.162	49871462	302176	8013429	15947525	19794546	154093
12.54768596	blackscholes	1	102	37	5.08	0.162	51106364	301268	8578257	17068604	20722497	153505
13.04960234	blackscholes	1	102	37	5.08	0.162	50884582	304320	8599405	16861898	20660806	156585
13.55149394	blackscholes	1	102	37	5.08	0.162	49935927	304803	7920923	15612913	19888575	150307
14.0528637	blackscholes	1	102	37	5.08	0.162	61277908	373892	8153115	15141151	22043772	192378
14.36822969	blackscholes	1	102	37	5.08	0.162	40223566	231907	5320372	10224738	14304611	137543
0.501131951	blackscholes	1	102	37	5.08	0.243	49978064	269923	11265183	23858590	24723539	125314
1.003342783	blackscholes	1	102	37	5.08	0.203	50804154	340107	7172107	13793111	18971742	157366
1.507013442	blackscholes	1	102	37	5.08	0.203	51120346	340108	7401118	14247892	19344156	162619
2.008965623	blackscholes	1	102	37	5.08	0.203	50227997	334709	7195852	13855190	18950525	156138
2.510818634	blackscholes	1	102	37	5.08	0.203	51457982	336630	7726608	15049101	19814430	158527
3.012527789	blackscholes	1	102	37	5.08	0.203	51569230	330710	7714416	15035245	19782708	159197
3.514815083	blackscholes	1	102	37	5.072	0.202	51172257	330452	7654032	14837443	19672225	157320
4.016699399	blackscholes	1	102	36.5	5.072	0.202	50669182	325905	7623561	14911353	19527740	156806
4.518691165	blackscholes	1	102	37	5.072	0.202	51501174	326310	7861948	15379729	19956245	156660
5.020474281	blackscholes	1	102	36.5	5.08	0.203	50793067	314240	7773159	15311057	19639520	156197
5.522341879	blackscholes	1	102	37	5.08	0.243	51496973	327491	7875564	15440173	19965147	162676
6.024185257	blackscholes	1	102	37	5.08	0.203	49774119	313541	7550892	14846749	19257001	154529
6.526289997	blackscholes	1	102	37	5.08	0.203	49450700	317361	7527105	14735647	19155933	155421
7.027751856	blackscholes	1	102	37	5.08	0.203	50646352	315578	7761140	15290320	19591735	156869
7.53003931	blackscholes	1	102	36.5	5.08	0.203	50010114	309033	7769418	15307309	19555580	154516
8.031514243	blackscholes	1	102	37	5.08	0.203	50281379	310273	7863952	15498851	19705842	153115
8.540413003	blackscholes	1	102	37	5.08	0.203	51281506	317180	8113454	15999118	20200745	157635
9.042039035	blackscholes	1	102	37	5.08	0.203	50396847	302282	8048532	15954650	19912431	154789
9.543521938	blackscholes	1	102	37	5.08	0.203	50758565	314210	8031524	15841161	19972388	155214
10.04531527	blackscholes	1	102	37.5	5.08	0.203	50258797	302569	8057283	16024225	19901674	153677
10.54734324	blackscholes	1	102	37	5.08	0.203	50844408	310557	8047393	15911411	20014950	154432
11.04931282	blackscholes	1	102	37	5.08	0.243	51133870	305615	8222566	16365604	20272533	155306
11.55147329	blackscholes	1	102	37	5.08	0.162	51002147	302149	8401066	16748822	20443216	152247
12.05288755	blackscholes	1	102	37	5.08	0.162	50341807	302692	8240883	16282691	20118262	151867
12.55495141	blackscholes	1	102	37	5.08	0.203	49471982	292974	8159940	16332151	19863150	149140
13.0566451	blackscholes	1	102	37	5.08	0.203	49926308	306089	8455089	16530901	20303136	153521
13.55843198	blackscholes	1	102	37	5.08	0.162	52754244	323017	8342057	16525151	20943147	162000
14.06016968	blackscholes	1	102	36.5	5.072	0.162	58867402	360816	7754078	14319167	21120139	181344
14.36047189	blackscholes	1	102	37	5.072	0.162	40148981	229102	5316257	10223044	14264360	136921
0.501161609	blackscholes	1	102	37	5.08	0.243	50724242	271188	11372802	24044528	24940908	127761
1.003423244	blackscholes	1	102	37	5.08	0.203	50936423	337175	7273229	13979077	19053846	160675
1.505182263	blackscholes	1	102	37	5.08	0.203	49983058	329042	7206802	13835940	18860815	156559
2.007340302	blackscholes	1	102	37	5.08	0.203	50504029	337922	7313273	14062339	19077522	159791
2.509173907	blackscholes	1	102	36.5	5.08	0.203	50854684	331019	7591088	14765713	19482201	160063
3.011363198	blackscholes	1	102	37	5.08	0.203	50914872	329671	7672296	14913337	19587975	158878
3.514498711	blackscholes	1	102	36.5	5.072	0.202	49988807	323326	7412398	14361241	19070313	154338
4.016327056	blackscholes	1	102	36.5	5.072	0.202	49768014	318485	7653023	15020190	19341020	154053
4.52262624	blackscholes	1	102	36.5	5.072	0.202	50736792	322045	7725547	15056373	19595870	155606
5.023940251	blackscholes	1	102	37	5.08	0.203	50845809	317446	7738510	15118009	19623253	158092
5.52609871	blackscholes	1	102	36.5	5.08	0.203	50489315	316244	7847025	15421287	19696686	157937
