Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
0.501335228	blackscholes	102.0	35.5	5.08	0.203	50768455	281630	11357802	24061428	25050921	129569
1.005497506	blackscholes	102.0	35.5	5.08	0.203	50553245	340529	7201809	13878153	18963030	160879
1.507249049	blackscholes	102.0	35.5	5.08	0.203	50377528	331784	7218429	13907408	18932161	159106
2.008938768	blackscholes	102.0	35.5	5.08	0.203	50708156	337651	7387059	14266582	19210776	159959
2.511753881	blackscholes	102.0	36.0	5.08	0.203	49974757	328839	7437934	14482469	19164833	156379
3.013803038	blackscholes	102.0	35.5	5.08	0.203	50163702	326287	7482710	14582125	19225639	155442
3.516242103	blackscholes	102.0	35.5	5.08	0.203	49677231	321490	7376597	14339686	18975938	153945
4.018230584	blackscholes	102.0	35.5	5.08	0.203	51210339	325501	7782024	15285054	19760429	159456
4.520290787	blackscholes	102.0	35.5	5.08	0.203	50136540	322106	7637406	14957448	19353380	155074
5.022170935	blackscholes	102.0	35.5	5.08	0.203	50454906	319101	7643176	14973520	19455374	154995
5.524352914	blackscholes	102.0	35.5	5.08	0.203	51156255	317484	7912652	15600265	19896225	160023
6.026310670	blackscholes	102.0	35.5	5.08	0.203	50884954	318979	7850476	15360833	19761781	157668
6.528485412	blackscholes	102.0	35.5	5.08	0.203	51143840	316987	7679391	15098942	19586550	158392
7.030652654	blackscholes	102.0	35.5	5.08	0.203	51176329	318837	7817753	15398944	19770585	159942
7.532802346	blackscholes	102.0	35.5	5.08	0.203	50601277	311947	7951093	15723981	19837071	157122
8.034933027	blackscholes	102.0	35.5	5.072	0.203	51020290	308859	7995112	15820098	19906262	157434
8.536567135	blackscholes	102.0	35.5	5.08	0.203	49890755	306517	7904427	15621757	19628395	152183
9.038988763	blackscholes	102.0	35.5	5.08	0.203	51015537	307965	8093665	16027850	20051383	156328
9.541100698	blackscholes	102.0	35.5	5.08	0.203	51308700	307446	8171575	16139722	20170810	158823
10.043717282	blackscholes	102.0	35.5	5.08	0.203	51335552	308585	8215326	16294099	20231504	157724
10.545786718	blackscholes	102.0	35.5	5.08	0.203	50745428	303780	8025267	15895750	19870262	153722
11.047691567	blackscholes	102.0	35.5	5.08	0.243	50596932	302733	7942439	15744758	19751456	156244
11.549695170	blackscholes	102.0	35.5	5.072	0.203	50651751	297090	8374382	16738747	20273577	154185
12.052113785	blackscholes	102.0	35.0	5.08	0.243	51081379	299812	8448369	16723512	20465216	154916
12.558578961	blackscholes	102.0	35.0	5.08	0.162	51517426	298285	8422046	16846055	20519030	159401
13.060181464	blackscholes	102.0	35.5	5.08	0.162	50011554	296601	8836153	17395237	20731472	153021
13.561706466	blackscholes	102.0	35.0	5.08	0.162	51534001	318576	8353117	16488519	20725375	156684
14.063910705	blackscholes	102.0	35.5	5.08	0.162	62698662	374766	8289271	15716084	22495815	201760
14.466719425	blackscholes	102.0	35.0	5.08	0.162	51624080	310637	6783308	12822300	18320492	170785
0.501271541	bodytrack	102.0	35.5	5.08	0.203	50066217	276445	11277760	23913082	24780528	131191
