Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE	INST_RETIRED	BUS_CYCLES	L1I_CACHE	BR_PRED
0.501229787	blackscholes	102.0	34.5	5.064	0.202	48560494	23362778	55218927	48579409	24136061	11025100
1.005197230	blackscholes	102.0	34.5	5.072	0.202	49534915	13482089	32252118	49734972	18485232	7019486
0.500955641	blackscholes	102.0	34.5	5.08	0.203	51015212	24002789	56691455	51033881	25090301	11350886
1.002924635	blackscholes	102.0	34.5	5.08	0.203	51103736	13896869	33307792	51103880	19131866	7255219
1.504737741	blackscholes	102.0	34.5	5.08	0.203	49495433	13649692	32684336	49475619	18632670	7112565
2.006560067	blackscholes	102.0	34.5	5.08	0.203	50464314	14087392	33725258	50482942	19095440	7320754
2.508484582	blackscholes	102.0	34.5	5.08	0.202	50402823	14433832	34433194	50402014	19244422	7447163
3.010310242	blackscholes	102.0	34.5	5.08	0.203	50746637	14757772	35239644	50747422	19499941	7601020
3.513601138	blackscholes	102.0	34.5	5.072	0.202	50553699	14653107	35063793	50551575	19397893	7566455
4.015782795	blackscholes	102.0	34.5	5.072	0.202	50914479	15166982	36227646	50914621	19730266	7776665
4.517212199	blackscholes	102.0	34.5	5.08	0.203	50808787	15090269	36012796	50809047	19613755	7727192
5.026577065	blackscholes	102.0	34.5	5.08	0.202	49846092	14762423	35214968	49844942	19095795	7540545
5.528716327	blackscholes	102.0	34.5	5.08	0.203	49839167	15002765	35731865	49839941	19282183	7634089
6.030150888	blackscholes	102.0	34.5	5.08	0.203	50154290	14816770	35369418	50151577	19366321	7601647
6.532013635	blackscholes	102.0	34.5	5.08	0.284	49811145	14856957	35345014	49813036	19206353	7573166
7.033932321	blackscholes	102.0	34.5	5.08	0.203	51120570	15290856	36555440	51118888	19770662	7827677
7.535826580	blackscholes	102.0	34.5	5.08	0.203	50773544	15720258	37511006	50773791	19869753	7983325
8.037598753	blackscholes	102.0	34.5	5.08	0.203	50659270	15470118	36813860	50659326	19689209	7838579
8.539282540	blackscholes	102.0	34.5	5.08	0.203	45425853	14062743	33480751	45426719	17825928	7137949
