Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE	L1I_CACHE	BUS_CYCLES	BUS_ACCESS_PERIPH	BR_RETURN_SPEC
0.501262289	blackscholes	102.0	35.0	5.08	0.243	50082720	23842233	24738165	50101936	1018	979163
1.003205321	blackscholes	102.0	35.0	5.08	0.203	50265554	13548883	18754446	50265419	1152	801572
1.504670062	blackscholes	102.0	35.5	5.072	0.203	50197842	13784684	18810417	50196447	1159	808072
2.006045582	blackscholes	102.0	35.0	5.08	0.203	50387588	13858473	18998080	50368418	1124	811555
2.507946998	blackscholes	102.0	35.5	5.08	0.203	50641250	14516939	19338991	50658428	1198	830890
3.009742891	blackscholes	102.0	35.5	5.08	0.202	49365652	14317850	18913869	49366366	1103	810004
3.511492325	blackscholes	102.0	35.0	5.08	0.203	50610736	14421493	19219684	50610646	1367	827745
4.014961741	blackscholes	102.0	35.0	5.08	0.203	50106345	14935305	19367067	50105416	1825	836134
4.525507286	blackscholes	102.0	35.5	5.08	0.203	51195312	14917759	19583293	51195204	1286	839190
5.027298075	blackscholes	102.0	35.0	5.08	0.203	50527640	15010223	19557380	50528731	930	840255
5.530718167	blackscholes	102.0	35.0	5.08	0.203	51050437	15453771	19840537	51049911	1122	856058
6.032516248	blackscholes	102.0	35.0	5.08	0.203	50393548	14878046	19462418	50390581	1052	837821
6.534672982	blackscholes	102.0	35.5	5.08	0.203	50060925	15080438	19420717	50097207	1095	842972
7.036118347	blackscholes	102.0	35.0	5.08	0.203	50006046	14933083	19388871	49970170	1087	833693
7.538023722	blackscholes	102.0	35.0	5.08	0.203	50662280	15610791	19881716	50661207	1063	857538
8.040096756	blackscholes	102.0	35.0	5.08	0.203	51005524	15822199	20002860	51006741	1019	866004
8.541836033	blackscholes	102.0	35.0	5.08	0.203	50885984	15733356	19983829	50885450	1021	861063
9.043771617	blackscholes	102.0	35.0	5.08	0.203	49294752	15500237	19505194	49293224	1176	841997
9.545264535	blackscholes	102.0	35.0	5.08	0.203	51033383	15900131	20060108	51033414	1420	868405
10.047276631	blackscholes	102.0	35.0	5.08	0.203	50788385	16130186	20139366	50786816	1136	868995
10.548919344	blackscholes	102.0	35.0	5.08	0.203	50745337	15880126	19970397	50746123	1347	864337
11.050793051	blackscholes	102.0	35.0	5.08	0.203	51716657	16438044	20494709	51715567	1241	890551
11.552516130	blackscholes	102.0	35.5	5.08	0.162	50708757	16207241	20087676	50709675	1092	869075
12.054834690	blackscholes	102.0	35.5	5.08	0.203	51098473	16813702	20524725	51099230	1140	889274
12.556485060	blackscholes	102.0	35.0	5.08	0.162	50371062	16295413	20138734	50350650	1297	867804
13.058506426	blackscholes	102.0	35.0	5.08	0.162	49632752	17313979	20752956	49650283	1086	883485
13.560114868	blackscholes	102.0	35.0	5.08	0.162	50464184	15955262	20212175	50475300	1057	841610
14.062619108	blackscholes	102.0	35.0	5.08	0.162	64847956	16219164	23215888	64883773	1654	1021199
14.467698092	blackscholes	102.0	34.5	5.08	0.162	49423432	12169949	17580457	49357239	985	770715
0.501285414	blackscholes	102.0	35.0	5.08	0.203	49806411	23782752	24639168	49825304	1117	976530
1.003298604	blackscholes	102.0	34.5	5.08	0.203	50762176	13735025	18989552	50742611	1082	815753
1.505100070	blackscholes	102.0	35.0	5.08	0.203	50468630	13875738	18978754	50487455	1103	815396
2.006913984	blackscholes	102.0	35.0	5.08	0.203	49330622	13607897	18536972	49310985	1092	796014
2.508691388	blackscholes	102.0	35.0	5.08	0.203	50814397	14739923	19493191	50832215	1061	839699
3.010815516	blackscholes	102.0	35.5	5.08	0.203	50883345	14800486	19544791	50864848	1087	844871
3.512308070	blackscholes	102.0	35.5	5.08	0.203	50565011	14609929	19437326	50583710	1110	834346
4.014331156	blackscholes	102.0	35.0	5.08	0.203	48622659	14557252	18965304	48621143	999	815906
4.516215748	blackscholes	102.0	35.0	5.08	0.243	50023744	14689882	19237498	50046948	1170	831735
5.018371961	blackscholes	102.0	35.0	5.08	0.203	51453289	15329077	19880620	51466150	1137	858076
5.519754357	blackscholes	102.0	35.0	5.08	0.203	50094944	15015558	19277944	50040079	1143	828525
6.021550510	blackscholes	102.0	35.0	5.08	0.203	50101827	14990829	19293984	50120199	1151	837945
6.523345622	blackscholes	102.0	35.0	5.08	0.203	50016725	14607947	19164528	50016352	1083	830171
7.025293341	blackscholes	102.0	35.5	5.08	0.203	50963599	15559101	19861935	50967219	1007	861399
7.528734788	blackscholes	102.0	35.0	5.08	0.203	51164908	15567547	19973804	51141896	1132	860541
8.030489482	blackscholes	102.0	35.5	5.08	0.203	50239533	15679047	19795540	50290430	1003	856759
8.532383919	blackscholes	102.0	35.0	5.08	0.203	50654214	15869343	19902266	50629511	1060	865317
9.034413150	blackscholes	102.0	35.0	5.08	0.203	50619326	16000370	20037813	50612214	1084	867251
9.536171699	blackscholes	102.0	35.0	5.08	0.203	50963949	15679355	19908358	50962859	1115	863100
10.037621648	blackscholes	102.0	35.0	5.08	0.203	51653491	16372700	20410126	51652780	1131	884904
10.545145727	blackscholes	102.0	35.0	5.08	0.243	51194976	16247152	20272093	51175672	1190	881794
11.046829847	blackscholes	102.0	35.0	5.08	0.202	51226667	16301565	20260905	51247106	1125	879804
11.548666262	blackscholes	102.0	35.0	5.08	0.162	50761369	16546400	20230528	50759619	1132	883142
12.050643982	blackscholes	102.0	35.0	5.08	0.162	50814661	16417364	20295507	50813706	1019	880922
12.552456750	blackscholes	102.0	35.0	5.08	0.162	50385823	16673504	20231666	50385884	1047	879342
13.054412178	blackscholes	102.0	35.0	5.08	0.162	51666997	17240586	21129698	51705386	1173	903468
13.555843481	blackscholes	102.0	35.0	5.08	0.162	51913213	16125734	20520107	51860616	1201	863864
14.057354629	blackscholes	102.0	35.0	5.08	0.162	61377734	15093513	22077672	61392055	1260	962032
14.351119281	blackscholes	102.0	34.5	5.08	0.162	40422518	10258981	14370639	40401621	792	642734
0.501692454	blackscholes	102.0	35.0	5.08	0.203	50585492	23944212	24941415	50604593	1100	989578
1.003689236	blackscholes	102.0	35.0	5.08	0.203	50811297	13829134	19009329	50809817	1165	821528
1.505819459	blackscholes	102.0	35.0	5.08	0.203	49509695	13655693	18708493	49541779	1009	803619
2.007277117	blackscholes	102.0	35.0	5.08	0.203	49777600	13790611	18792303	49745376	1105	810450
2.509027905	blackscholes	102.0	35.0	5.08	0.203	50620719	14635299	19408080	50619359	1038	838363
3.010934894	blackscholes	102.0	34.5	5.08	0.203	50645680	14728814	19437066	50627438	1267	839825
3.512498855	blackscholes	102.0	35.0	5.08	0.203	49999554	14589107	19235014	49999218	1050	833862
4.014350583	blackscholes	102.0	35.0	5.08	0.203	50779171	14922035	19554619	50796820	1195	843899
4.516141528	blackscholes	102.0	35.0	5.08	0.203	50954263	15057602	19642997	50954374	1136	851916
5.018352326	blackscholes	102.0	34.5	5.08	0.203	51494729	15369910	19946926	51534583	1206	863963
5.520114572	blackscholes	102.0	35.0	5.08	0.203	49811238	15222557	19472066	49770303	1079	840909
6.022222711	blackscholes	102.0	35.0	5.08	0.203	50570319	15083844	19478699	50571368	1159	848019
6.523715526	blackscholes	102.0	35.0	5.08	0.203	49166069	14473908	18931942	49170555	1040	820501
7.025716162	blackscholes	102.0	35.0	5.08	0.203	50797754	15555921	19820077	50813916	933	864868
7.527403981	blackscholes	102.0	35.0	5.08	0.203	51573825	15614882	20083434	51557354	1212	870027
8.028793668	blackscholes	102.0	35.0	5.08	0.203	50251769	15484875	19636238	50226735	1084	851637
8.530911963	blackscholes	102.0	35.0	5.08	0.203	50272041	15662107	19753829	50290582	973	857343
9.032691085	blackscholes	102.0	34.5	5.08	0.203	50632503	15862039	19927117	50631675	1109	864631
9.534789328	blackscholes	102.0	34.5	5.08	0.203	50499214	15780369	19855352	50498910	1063	865039
10.036576523	blackscholes	102.0	35.0	5.08	0.203	50723411	16145016	20094748	50724158	1021	871515
10.538344291	blackscholes	102.0	35.0	5.08	0.203	51595257	16186242	20297301	51593046	1234	885227
11.040069037	blackscholes	102.0	35.0	5.08	0.203	50130405	16063103	19867795	50131065	1068	867084
11.545914750	blackscholes	102.0	35.0	5.08	0.162	50497604	16295833	20122423	50492047	1092	875645
12.047369907	blackscholes	102.0	34.5	5.08	0.162	50136257	16356768	20059857	50141748	1004	876075
12.549767166	blackscholes	102.0	35.0	5.08	0.162	50555916	16452018	20230150	50536248	1049	874699
13.051291127	blackscholes	102.0	34.5	5.08	0.162	50602347	17799780	21174781	50620783	1124	907704
13.553122646	blackscholes	102.0	35.0	5.08	0.162	51689918	16152636	20474930	51690170	1079	866538
14.055217816	blackscholes	102.0	34.5	5.08	0.162	62878732	15580780	22493077	62910010	1347	991937
