#Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	EXC_TAKEN	L1I_CACHE	L2D_CACHE	BUS_ACCESS	BUS_CYCLES
0.501362080	blackscholes	102.0	36.5	5.072	0.243	45013739	2125	22772412	1178291	1037646	45034704
1.003416307	blackscholes	102.0	36.0	5.072	0.202	46968920	4030	17353039	1772200	1608868	46977180
1.507505237	blackscholes	102.0	36.5	5.072	0.202	46973294	3887	17697307	1767698	1523614	46972493
2.009367516	blackscholes	102.0	36.0	5.072	0.202	46465142	3938	17377180	1736620	1528287	46466263
2.511572617	blackscholes	102.0	36.5	5.08	0.243	46133832	3790	17412873	1729346	1523412	46132319
0.501873297	blackscholes	102.0	36.0	5.08	0.203	48280616	2496	24121199	1263492	1020082	48364975
1.003896535	blackscholes	102.0	36.5	5.08	0.203	48939486	4167	18347342	1822893	1539576	48885071
1.507029652	blackscholes	102.0	36.0	5.072	0.203	47686387	4141	17684541	1793376	1494225	47686011
2.008909956	blackscholes	102.0	36.0	5.08	0.203	48735913	4113	18505231	1789141	1476918	48734794
0.501224699	blackscholes	102.0	36.5	5.08	0.203	48542971	2523	24246666	1300226	1076783	48571093
1.003934436	blackscholes	102.0	36.0	5.08	0.203	48572588	4188	18160085	1819545	1542951	48573434
1.506105976	blackscholes	102.0	36.0	5.08	0.203	48776335	4119	18426637	1806514	1481424	48801413
2.007935463	blackscholes	102.0	36.0	5.08	0.203	49283080	4155	18638253	1810031	1471153	49257757
0.500626001	blackscholes	204.0	36.0	5.08	0.324	99156561	6962	43132943	3036724	2696719	99187107
1.001725450	blackscholes	204.0	36.0	5.072	0.324	98933601	8323	37275884	3496959	3146833	98932625
1.502668897	blackscholes	204.0	36.0	5.08	0.284	100854996	8428	38920660	3513938	3029780	100853297
2.004376114	blackscholes	204.0	36.0	5.072	0.284	100594223	8476	38565414	3501042	3231834	100595480
2.505408198	blackscholes	204.0	36.0	5.08	0.284	100418054	8704	38880138	3480431	3173697	100418824
3.006397098	blackscholes	204.0	36.0	5.072	0.284	101661693	8995	39569813	3523918	3122932	101658533
3.507374169	blackscholes	204.0	36.0	5.08	0.284	102293939	9063	39808401	3524904	3204607	102292587
4.008384725	blackscholes	204.0	36.5	5.08	0.284	101383893	8984	39794790	3478598	3219606	101384007
4.509564134	blackscholes	204.0	36.0	5.08	0.284	100524455	8982	39709525	3416043	3143508	100523302
5.010544260	blackscholes	204.0	36.0	5.08	0.284	99980326	8924	39659002	3386794	3122932	99981523
5.511507140	blackscholes	204.0	36.0	5.08	0.284	101049058	9123	40116853	3405902	3111545	101045985
6.012480536	blackscholes	204.0	36.0	5.08	0.284	101118795	8946	40606002	3372754	3181032	101119924
6.513454498	blackscholes	204.0	36.0	5.08	0.284	100633490	8653	40288210	3378206	3086331	100634744
7.014450278	blackscholes	204.0	36.5	5.08	0.284	109721787	10035	40811198	3680039	3319150	109781413
7.085047441	blackscholes	204.0	36.5	5.08	0.284	18004825	1636	6606147	635584	570804	17911077
0.500694126	blackscholes	204.0	36.0	5.08	0.324	100278609	6979	43510775	3097978	2734437	100309163
1.001874304	blackscholes	204.0	36.0	5.072	0.284	100357815	8488	37933045	3560094	3069646	100353924
1.502798946	blackscholes	204.0	36.0	5.08	0.284	101809644	8530	39204521	3559363	3066358	101809657
